First Name,Last Name,Name,MP,Goals,Assists,Yellow Cards,Red Cards
Marc,Bineau,Marc Bineau,11,6,2,0,0
Manuel,Carrillo,Manuel Carrillo,11,6,2,3,0
Benjamin,Uranga,Benjamin Uranga,11,1,2,4,0
Kaan,Vann,Kaan Vann,11,0,0,1,0
Kevin,Lopez,Kevin Lopez,11,0,0,1,1
Gabriel,do Carmo,Gabriel do Carmo,10,2,0,0,1
Sebastian,Ramirez,Sebastian Ramirez,10,1,0,1,0
Samuel,Valdivia,Samuel Valdivia,10,0,0,0,0
Augusto,Del Rio,Augusto Del Rio,9,2,1,1,1
Jorge,Lopez,Jorge Lopez,9,0,1,4,1
Jose,Segura,Jose Segura,9,0,0,0,0
Georgie,Angelides,Georgie Angelides,9,0,0,0,0
Carlos,Sola,Carlos Sola,7,0,1,0,0
Rodrigo,Feitosa,Rodrigo Feitosa,7,0,1,1,0
Juan,Correa,Juan Correa,7,0,0,0,0
Andrew,Dornan,Andrew Dornan,7,0,0,1,0
Carlos,Guerrero,Carlos Guerrero,5,0,0,0,0
Yanni,Angelides,Yanni Angelides,4,0,0,0,0
Christopher,Uranga,Christopher Uranga,4,0,0,0,0
Jaír,Figueroa,Jaír Figueroa,4,0,0,0,0
Cesar,Abreu,Cesar Abreu,3,0,0,0,0
Tylar,Gregg,Tylar Gregg,3,0,0,0,0
Zamal,Mallebranche,Zamal Mallebranche,3,0,0,0,0
Alen,Hernandez,Alen Hernandez,3,0,0,0,0
Abiodun,Fasola,Abiodun Fasola,2,0,0,0,0
Osvaldo,Franco,Osvaldo Franco,2,0,0,0,0
Robert,Thomas,Robert Thomas,2,0,0,0,0
Jorge,Valdovinos,Jorge Valdovinos,2,0,0,1,0
Antonio,Carrero,Antonio Carrero,1,0,1,0,0
Niles,Brown,Niles Brown,1,0,0,0,0
Austin,Anderson,Austin Anderson,1,0,0,0,0
Jose,Bautista,Jose Bautista,1,0,0,0,0
Zabdiel,Puebla,Zabdiel Puebla,1,0,0,0,0
Luis,Maldonado,Luis Maldonado,1,0,0,0,0
Team Totals,,,11,18,11,18,4
