First Name,Last Name,Name,MP,Goals,Assists,Yellow Cards,Red Cards
Manuel,Carrillo,Manuel Carrillo,10,8,2,1,0
Marc,Bineau,Marc Bineau,8,5,1,1,0
Jaír,Figueroa,Jaír Figueroa,9,1,1,1,0
Yannick,Herschberg,Yannick Herschberg,7,1,1,1,0
Sebastian,Ramirez,Sebastian Ramirez,10,0,2,1,0
Zabdiel,Puebla,Zabdiel Puebla,8,0,1,0,0
Paulo,Oliveira,Paulo Oliveira,6,0,1,0,0
Augusto,Del Rio,Augusto Del Rio,9,0,0,0,0
Benjamin,Uranga,Benjamin Uranga,9,0,0,2,0
Landon,Liborio,Landon Liborio,8,0,0,0,0
Jorge,Lopez,Jorge Lopez,8,0,0,1,0
Niles,Brown,Niles Brown,7,0,0,0,0
Ousseynou,Ndoye,Ousseynou Ndoye,7,0,0,1,0
Troy,Caesar,Troy Caesar,7,0,0,1,0
Kaan,Vann,Kaan Vann,7,0,0,1,1
Samuel,Valdivia,Samuel Valdivia,6,0,0,0,0
Christopher,Uranga,Christopher Uranga,6,0,0,0,0
Andrew,Dornan,Andrew Dornan,5,0,0,0,0
Chileshe,Chipumbu,Chileshe Chipumbu,4,0,0,0,0
Axel,Vaquero,Axel Vaquero,3,0,0,0,0
Alen,Hernandez,Alen Hernandez,3,0,0,1,0
Luis,Maldonado,Luis Maldonado,2,0,0,0,0
Trey,Wade,Trey Wade,2,0,0,0,0
Eduardo,Ramirez,Eduardo Ramirez,2,0,0,0,0
Isaac,Garcia,Isaac Garcia,2,0,0,1,0
Abdoul,Boukari,Abdoul Boukari,2,0,0,1,0
Gabriel,do Carmo,Gabriel do Carmo,1,0,0,0,0
Cameron,Verona,Cameron Verona,1,0,0,1,0
Mouhamadou,Ndiaye,Mouhamadou Ndiaye,0,0,0,0,0
,, ,0,0,0,0,0
,, ,0,0,0,0,0
,, ,0,0,0,0,0
,, ,0,0,0,0,0
Own goal,,Own goal ,0,1,0,0,0
Team Totals,,,10,16,9,15,1
